algoritmo,cenario,io_ops,cpu_ops,repeticao,tempo_io,tempo_cpu
minix_padrao,10,10000,10000000,1,"15,063280","0,000000"
minix_padrao,10,10000,10000000,2,"14,203320","0,000000"
minix_padrao,10,10000,10000000,3,"14,229980","0,000000"
minix_padrao,10,10000,10000000,4,"14,183300","0,000000"
minix_padrao,10,10000,10000000,5,"14,166700","0,000000"
minix_padrao,50,10000,10000000,1,"70,797984","0,003333"
minix_padrao,50,10000,10000000,2,"70,853988","0,003334"
minix_padrao,50,10000,10000000,3,"71,066672","0,002000"
minix_padrao,50,10000,10000000,4,"71,582004","0,003999"
minix_padrao,50,10000,10000000,5,"70,964672","0,003999"
minix_padrao,100,10000,10000000,1,"141,601980","0,005999"
minix_padrao,100,10000,10000000,2,"141,484600","0,006000"
minix_padrao,100,10000,10000000,3,"141,809020","0,006000"
minix_padrao,100,10000,10000000,4,"141,651740","0,005334"
minix_padrao,100,10000,10000000,5,"141,804020","0,006667"
minix_padrao,200,10000,10000000,1,"282,838170","0,014167"
minix_padrao,200,10000,10000000,2,"280,045130","0,013501"
minix_padrao,200,10000,10000000,3,"282,089830","0,014001"
minix_padrao,200,10000,10000000,4,"284,922470","0,013833"
minix_padrao,200,10000,10000000,5,"283,005680","0,013334"
minix_padrao,10,100000,1000000,1,"190,186800","0,000000"
minix_padrao,10,100000,1000000,2,"202,663400","0,000000"
minix_padrao,10,100000,1000000,3,"185,089800","0,000000"
minix_padrao,10,100000,1000000,4,"187,879800","0,000000"
minix_padrao,10,100000,1000000,5,"185,289800","0,000000"
minix_padrao,50,100000,1000000,1,"922,643480","0,005332"
minix_padrao,50,100000,1000000,2,"924,924640","0,006667"
minix_padrao,50,100000,1000000,3,"922,608680","0,008000"
minix_padrao,50,100000,1000000,4,"925,600680","0,005334"
minix_padrao,50,100000,1000000,5,"920,771920","0,006667"
minix_padrao,100,100000,1000000,1,"2.986,571800","0,010332"
minix_padrao,100,100000,1000000,2,"1.355,297000","0,029000"
minix_padrao,100,100000,1000000,3,"1.432,631000","0,011334"
